id,firstName,lastName,email,gender,contactNo,country,dob
1,sandhya,lakshmi,sandhya@123,female,9787622,india,20102000
2,bhagyashree,gowda,bhagya@345,female,3212344,us,013892
3,nikhil,nuthakki,nikhil@156,male,320899,canada,2093810831
4,chandu,golla,chandu@890,male,792729,india,09191002
5,ravi,teja,ravi@342,male,738917,uk,0192933
6,rohit,patel,rohit@764,male,83019839,us,0990112
7,dipankar,das,das@654,male,6821791,india,801809129
8,chirag,gupta,chirag@321,male,9327982,uk,830912839
9,vivek,sharma,vivek@851,male,38190,us,09392903
10,soumya,deep,deep@999,male,738291,india,9098091
